# 
# 01/18/2023 14:03:20
# The parameters defined in the project are:
# ,P1 - Group1 [in],P2 - Group2 [in],P3 - Group3 [m],P4 - Group4 [m],P5 - parameter-1 [J m^-2 s^-1],P6 - wall_0_t [K],P7 - wall_1i_t [K],P8 - wall_1o_t [K],P9 - wall_2i_t [K],P10 - wall_2o_t [K],P11 - wall_3i_t [K],P12 - wall_3o_t [K],P13 - wall_4i_t [K],P14 - wall_4o_t [K],P15 - wall_5i_t [K],P16 - wall_5o_t [K],P17 - wall_6i_t [K],P18 - wall_6o_t [K],P19 - wall_7i_t [K],P20 - wall_7o_t [K],P21 - wall_8i_t [K],P22 - wall_8o_t [K]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22
DP 20,1.7886,3.8756,0.045430439999999996,0.09844024,2786.85,328.12509,325.11184,330.00705,325.58621,327.2114,327.12874,325.07394,326.20851,325.13945,326.26092,329.42887,326.18258,325.39688,325.44244,325.00344,325.11423,326.22162
DP 21,1.8296,3.4538,0.046471839999999993,0.08772652,2786.85,327.97371,325.30828,330.16849,326.71982,327.14761,328.09613,324.85671,326.01025,325.59815,325.93286,328.36324,326.38538,325.41872,325.58627,324.94857,325.22642,326.05136
DP 22,2.3329,3.9193,0.059255659999999995,0.09955022,2786.85,327.616,326.13612,329.13476,327.04057,327.36468,328.86492,325.10876,325.83489,326.11972,325.81043,327.4985,326.79071,326.11211,325.88772,325.01257,325.68248,326.26186
DP 23,2.2022,4.5428,0.055935879999999993,0.11538711999999998,2786.85,327.61626,326.34016,329.26187,326.96716,327.4775,328.78556,324.94366,326.08452,325.42709,325.9487,327.82829,326.93723,325.45269,325.87795,324.89499,325.64949,326.1574
DP 24,2.1184,3.7163,0.053807359999999992,0.09439402,2786.85,327.76623,326.26612,329.3804,327.14765,327.20207,328.86152,324.96039,325.88114,325.82344,325.80239,327.42667,326.94418,325.82202,325.99194,324.95595,325.59727,326.23957
DP 25,1.9644,3.4937,0.04989576,0.08873998,2786.85,327.80094,326.1246,330.20771,327.22473,327.21681,329.2826,324.83752,325.63118,325.63329,325.88338,327.5067,326.9277,325.9128,326.03492,324.95214,325.4336,326.10667
DP 26,1.9655,4.434,0.0499237,0.1126236,2786.85,327.22318,326.02625,329.56069,326.86269,327.46786,328.69298,324.90559,325.99518,325.36802,326.01009,328.32442,327.04211,325.31303,325.93814,324.94322,325.56143,326.02628
DP 27,2.2232,3.4558,0.05646928,0.087777319999999992,2786.85,327.58414,326.03104,329.29892,326.62719,327.30486,328.26028,324.91525,325.62663,326.65897,325.68764,327.08477,326.73131,326.87601,325.65875,324.94696,325.50592,326.06354
DP 28,2.33,4.5911,0.059182,0.11661394,2786.85,327.59117,326.39434,328.93037,327.01782,327.46848,328.78522,324.89603,325.87499,325.49029,326.0505,327.55012,326.77288,325.54667,326.02607,324.88353,325.64261,326.08545
DP 29,1.8793,4.5803,0.047734219999999994,0.11633962,2786.85,327.53216,326.24444,329.42273,326.54144,327.20821,328.20364,325.00554,326.17011,325.43773,326.27532,329.02258,326.90092,325.4092,325.7597,325.09649,325.54802,326.14071
DP 30,2.0272,4.3143,0.05149088,0.10958322,2786.85,327.74046,326.27213,329.51659,326.83844,327.44176,329.09646,325.00268,325.92089,325.41843,326.19885,328.22558,327.06709,325.52143,325.93642,324.99268,325.63816,326.17684
DP 31,2.1571,3.641,0.054790339999999993,0.092481399999999991,2786.85,327.71169,326.31162,329.51197,327.06413,327.30916,328.98284,324.7846,325.74345,326.21596,325.68728,327.13019,326.68287,326.12348,325.89492,324.78036,325.58723,326.04648
DP 32,1.6706,3.7007,0.04243324,0.093997779999999989,2786.85,329.34035,322.9965,330.17279,323.39686,327.16497,323.46941,324.94837,326.16961,324.84883,326.06528,330.98665,324.28783,324.9374,324.2683,324.90583,323.93064,326.16167
DP 33,1.9358,4.629,0.049169319999999996,0.11757659999999999,2786.85,327.59274,326.18984,329.22592,326.84113,327.21231,328.42424,325.10228,326.19418,325.4491,326.1882,328.73712,326.84197,325.45069,326.02624,325.07127,325.74854,326.24261
DP 34,1.8507,4.0629,0.04700778,0.10319766,2786.85,327.8586,325.78472,330.052,326.51231,327.2535,328.58852,325.1682,326.21056,325.26228,326.07614,328.90714,326.74015,325.36992,325.77355,325.15578,325.52103,326.26057
DP 35,1.9932,4.2121,0.05062728,0.10698734,2786.85,327.58096,326.25569,329.45974,326.96308,327.28668,328.74412,324.98681,326.03472,325.24428,326.08522,328.33513,327.02332,325.23901,326.01019,325.03263,325.57294,326.14219
DP 36,1.8833,4.0438,0.047835819999999994,0.10271252,2786.85,327.57809,325.96527,329.66809,326.43916,327.43191,328.33113,325.21193,326.20569,325.36785,326.13173,328.77323,326.9326,325.42384,325.83827,325.1688,325.61279,326.22104
DP 37,2.1717,3.8889,0.05516118,0.09877806,2786.85,327.63255,326.15707,329.43034,326.94352,327.20673,328.61189,324.89792,325.77367,325.56836,325.58339,327.50042,326.88062,325.71938,325.93009,324.8939,325.54793,326.0507
DP 38,1.8955,4.2811,0.0481457,0.10873994000000001,2786.85,327.66558,326.21016,329.61988,326.83277,327.32984,328.71913,325.02146,326.16583,325.35823,326.04946,328.75678,326.84288,325.40992,325.92508,325.09498,325.65038,326.20023
DP 39,2.2194,4.3919,0.056372759999999994,0.11155425999999999,2786.85,327.57056,326.46049,329.16013,326.92292,327.44728,328.95421,324.85822,325.96054,325.34067,325.86272,327.72292,326.98244,325.35678,326.0202,324.94475,325.5899,326.02693
DP 40,2.2549,3.9766,0.05727446,0.10100564,2786.85,327.68132,326.21542,329.29431,327.14114,327.46627,329.25488,325.0243,325.96023,325.70959,325.80136,327.46095,326.94015,326.08072,326.10513,324.93613,325.66369,326.19761
DP 41,1.9417,3.5557,0.04931918,0.09031478,2786.85,327.61722,326.25842,329.92302,327.27087,327.2446,327.98531,324.93774,325.9252,325.56006,325.80037,327.80102,326.80352,325.73948,325.94987,324.98774,325.52472,326.05341
DP 42,1.9824,3.711,0.050352959999999995,0.0942594,2786.85,327.62075,326.15706,329.62964,326.82361,327.23967,328.52069,324.92857,325.89085,325.44269,325.67406,327.68911,326.72375,325.30604,325.99081,324.98103,325.52448,326.10383
DP 43,2.0741,3.4236,0.05268214,0.08695944,2786.85,327.73273,326.29057,329.74055,327.0098,327.29398,328.90284,324.97405,325.77047,326.46607,325.74961,327.18978,326.95694,326.81472,326.06103,324.99057,325.73279,326.10069
DP 44,2.1935,3.8005,0.055714899999999991,0.0965327,2786.85,327.66318,326.32968,329.43916,327.03188,327.34223,329.01657,324.79383,325.62817,325.89261,325.78739,327.36259,326.99017,325.68746,326.00467,324.80599,325.53259,326.04629
DP 45,2.2241,4.1262,0.056492139999999996,0.10480547999999999,2786.85,327.47216,326.27401,329.26458,327.48864,327.27558,329.32052,324.97356,326.01601,325.4952,325.73847,327.60057,327.13943,325.47673,326.12223,325.01142,325.66289,326.19249
DP 46,2.2913,4.2652,0.05819902,0.10833608,2786.85,327.64219,326.44248,329.31216,327.00474,327.26132,328.98838,324.88761,325.94993,325.60986,325.88137,327.60987,326.90842,325.47461,325.88976,324.95826,325.58837,326.14304
DP 47,2.3163,3.5292,0.05883402,0.089641679999999987,2786.85,327.51057,326.14037,328.74659,326.74247,327.46586,328.14353,324.99314,325.63595,326.63279,325.72205,327.08691,326.96313,327.07847,325.78662,324.97741,325.51857,326.16169
DP 48,1.8735,3.5819,0.047586899999999994,0.09098026,2786.85,327.56004,326.00089,330.27039,327.08215,327.18322,328.52899,324.96984,325.75549,325.40512,325.8955,328.09035,326.51329,325.42108,325.76976,324.96461,325.46785,326.20227
DP 49,2.0393,3.3866,0.051798219999999992,0.08601964,2786.85,327.61513,326.25722,329.52117,326.98633,327.20366,329.13852,324.89491,325.92865,326.50743,325.69222,327.20373,326.97655,326.66267,325.9654,324.95228,325.62377,326.04451
DP 50,1.7003,3.4968,0.043187619999999996,0.08881871999999999,2786.85,328.6782,323.4481,330.50658,324.34161,327.35836,324.17839,324.76329,325.81145,325.03101,325.70135,329.92183,324.63739,325.12247,324.45512,324.79848,324.14135,326.02904
DP 51,1.9497,3.7531,0.04952238,0.09532874,2786.85,327.68665,325.97691,329.8551,327.04558,327.23464,328.84711,324.90896,325.90508,325.40269,325.76845,327.94957,326.73672,325.38352,325.87375,325.00444,325.52126,326.12013
DP 52,2.2597,3.4453,0.05739638,0.08751062,2786.85,327.65789,326.04482,328.84812,326.51964,327.28296,328.51455,324.96219,325.71342,326.64639,325.52229,327.02717,326.92756,326.93271,325.7193,325.04591,325.46981,326.27415
DP 53,1.9745,3.9695,0.0501523,0.10082529999999999,2786.85,327.58001,326.13214,329.56426,327.03823,327.41724,328.98311,325.09545,325.91992,325.53851,326.04562,328.01993,326.94584,325.32291,325.90174,325.06311,325.56475,326.2162
DP 54,2.2337,3.995,0.056735979999999991,0.101473,2786.85,327.64207,326.23596,329.07313,327.36065,327.3611,329.08684,325.12592,325.93907,325.71713,325.99081,327.47188,326.94713,325.82742,326.08735,325.08446,325.78878,326.30585
DP 55,2.3004,4.3611,0.058430159999999995,0.11077194,2786.85,327.70768,326.38558,329.17893,327.27687,327.311,328.80984,324.97404,325.92918,325.5225,326.01035,327.57193,326.90248,325.63417,325.99517,324.95582,325.65117,326.13793
DP 56,2.0621,3.8958,0.05237734,0.09895332,2786.85,327.50807,326.28459,329.7055,327.45685,327.28672,329.33538,325.01887,325.6956,325.47044,325.88777,327.7971,326.73974,325.48937,325.99454,324.92769,325.64137,326.17315
DP 57,1.7049,3.8855,0.04330446,0.0986917,2786.85,328.55267,323.65707,330.02916,323.87346,327.45784,324.01593,324.86236,326.10704,325.05044,326.01499,330.2302,324.75748,324.91002,324.52275,324.91088,324.25138,326.04708
DP 58,2.167,4.5853,0.055041799999999995,0.11646661999999999,2786.85,327.58374,326.49593,329.24559,326.95756,327.19576,328.51711,324.95391,325.96424,325.37296,326.09912,327.84457,327.03882,325.44115,326.03091,324.91544,325.64132,326.15476
DP 59,2.196,4.4999,0.0557784,0.11429746,2786.85,327.46946,326.40563,329.15816,326.93807,327.37472,329.00142,324.95646,326.01996,325.53697,325.80176,327.74915,326.77062,325.39905,325.98449,325.0294,325.66234,326.21711
DP 60,2.002,4.6742,0.050850799999999995,0.11872468,2786.85,327.49276,326.31025,329.17144,326.68909,327.42567,328.417,325.15372,326.26741,325.57671,326.28968,328.54923,326.99332,325.46976,325.91322,325.08164,325.69126,326.29887
DP 61,1.8087,3.3977,0.04594098,0.086301579999999989,2786.85,327.9316,325.43436,330.41631,326.38749,327.27189,327.70161,324.82161,326.03067,325.5503,325.97187,328.54401,326.54872,325.50189,325.68949,324.92524,325.08938,326.0815
DP 62,1.8405,4.5498,0.0467487,0.11556492,2786.85,327.83108,325.79913,329.53183,326.0335,327.28286,328.22254,324.99084,326.34347,325.32482,326.25481,329.49594,326.81464,325.42615,325.74578,324.97176,325.34883,326.15009
DP 63,1.7938,3.6266,0.04556252,0.09211564,2786.85,327.95137,324.98122,329.9668,325.75915,327.14734,326.97747,324.83562,326.07526,325.22546,325.91064,328.88619,326.10281,325.19394,325.47278,324.91549,324.91568,326.04168
DP 64,1.937,4.4043,0.0491998,0.11186921999999999,2786.85,327.53517,326.37369,329.34714,326.61537,327.2981,328.6918,325.14554,326.30038,325.48264,326.30439,328.63688,326.9104,325.38978,325.91099,325.10002,325.63935,326.20588
DP 65,2.1835,3.3392,0.0554609,0.084815679999999991,2786.85,327.43754,326.05204,328.97596,326.64204,327.49617,328.70144,325.00544,325.76422,326.91047,325.48288,327.07713,326.80507,327.42645,325.71731,324.98456,325.57369,326.15789
DP 66,2.0722,3.5137,0.05263388,0.089247979999999991,2786.85,327.70875,326.43652,329.7224,327.22076,327.24019,328.88683,325.12147,325.83539,326.32096,325.97558,327.4819,326.80996,325.99908,326.14691,325.03528,325.67323,326.15578
DP 67,2.0185,4.1924,0.0512699,0.10648696,2786.85,327.67015,326.32544,329.49867,326.9823,327.43064,328.54009,325.13365,326.16118,325.30917,326.26665,328.34895,327.39176,325.53199,326.17417,325.14471,325.74699,326.24287
DP 68,1.8669,4.6423,0.04741926,0.11791441999999999,2786.85,327.82304,326.12281,329.28637,326.56924,327.22744,328.48063,324.93533,326.16258,325.40244,326.18801,329.06357,326.71538,325.30582,325.72146,325.06601,325.4774,326.13585
DP 69,1.8048,3.9332,0.045841919999999994,0.09990328,2786.85,327.92012,325.23259,329.71361,325.75822,327.501,327.30771,324.93874,326.19341,325.04372,326.22095,329.07426,326.3793,325.16021,325.48926,324.99008,325.12743,326.07271
DP 70,1.7293,4.0957,0.04392422,0.10403077999999999,2786.85,328.67706,324.27333,329.84922,324.82441,327.23399,325.07182,324.88424,326.27572,324.96195,326.18664,330.59236,324.9355,325.07895,324.82761,324.96841,324.58611,326.10722
DP 71,2.3133,4.4479,0.058757819999999995,0.11297665999999999,2786.85,327.64531,326.39994,329.2346,327.22375,327.38158,328.61891,324.9962,325.88148,325.58265,325.95919,327.73462,326.82156,325.49015,326.01834,324.97812,325.63626,326.17899
DP 72,1.7582,4.155,0.044658279999999995,0.105537,2786.85,328.68386,324.98697,330.00694,325.39293,327.36046,326.1972,324.90133,326.25323,325.1349,326.17639,329.88471,325.65314,324.99364,325.14708,324.85366,324.86286,326.02282
DP 73,1.7828,4.3058,0.045283119999999996,0.10936731999999999,2786.85,328.18109,325.20099,329.73378,325.48447,327.3584,326.33528,324.83356,326.26872,325.17933,326.33938,329.77765,325.84719,325.09641,325.1392,324.87614,325.02366,326.08009
DP 74,2.1045,3.7719,0.053454299999999996,0.09580625999999999,2786.85,327.62367,326.32541,329.37345,327.00903,327.41547,328.7592,324.99126,325.7806,325.80248,325.8503,327.71444,326.69974,325.66281,325.94571,324.921,325.58921,326.06934
DP 75,2.1808,3.9554,0.05539232,0.10046716,2786.85,327.64757,326.27187,329.46956,327.3233,327.28744,329.03418,325.05276,326.00453,325.67405,325.81292,327.54745,327.15864,325.53785,326.19113,325.03307,325.69235,326.24136
DP 76,1.8029,4.3564,0.04579366,0.11065256,2786.85,327.87528,325.54847,329.53547,325.8412,327.09441,327.29529,325.10166,326.27698,325.29557,326.17762,329.62224,326.37544,325.29274,325.53731,325.02941,325.25312,326.14976
DP 77,2.2289,4.4699,0.056614059999999994,0.11353545999999999,2786.85,327.49588,326.4584,329.23198,326.9616,327.4898,328.69372,325.02841,325.89294,325.4441,326.06699,327.78523,326.89662,325.46234,325.96091,324.99684,325.663,326.19555
DP 78,2.3453,4.2019,0.05957062,0.10672826,2786.85,327.80932,326.553,329.15872,327.16845,327.12766,329.0535,324.92963,325.62447,325.60488,326.02459,327.55477,326.83876,325.68526,326.008,324.94863,325.60925,326.22811
DP 79,1.9202,4.1134,0.048773079999999996,0.10448036000000001,2786.85,327.69156,326.11739,329.65061,326.85866,327.50462,328.59907,325.14981,326.13641,325.3867,326.13931,328.62736,326.98109,325.3242,325.9859,325.12881,325.66464,326.3425
DP 80,2.2943,3.6681,0.058275219999999989,0.09316974,2786.85,327.75587,326.11056,329.09678,326.92391,327.20324,329.09264,324.92657,325.64129,326.84827,325.70012,327.09468,327.02014,326.82241,325.93474,324.86441,325.58925,326.07419
DP 81,1.6638,3.8412,0.042260519999999996,0.09756648,2786.85,329.33433,322.9008,329.99154,323.37869,327.2651,323.35782,324.8922,326.06396,324.86941,326.14554,331.53847,324.24244,324.85794,324.11728,324.84854,323.89201,325.97682
DP 82,2.3069,3.4075,0.05859526,0.0865505,2786.85,327.69548,325.79612,328.578,327.4472,327.5788,327.86158,325.01443,325.72808,326.89471,325.56141,327.07245,326.63286,327.11738,326.06262,324.94575,325.43967,326.27046
DP 83,2.1405,4.6004,0.054368699999999992,0.11685015999999998,2786.85,327.42606,326.38736,329.32429,327.32272,327.34364,328.77548,325.01764,325.9897,325.49706,326.12835,328.13738,326.64603,325.42308,325.91738,324.96689,325.69743,326.15359
DP 84,2.3485,4.4123,0.0596519,0.11207241999999999,2786.85,327.67545,326.54914,329.38151,327.14191,327.47205,329.00105,324.8835,325.86293,325.54325,325.92223,327.48949,326.901,325.45459,326.0258,324.90509,325.66052,326.06742
DP 85,1.9463,3.8563,0.04943602,0.09795002,2786.85,327.5225,326.19918,329.5987,327.24774,327.18213,329.03383,325.0531,326.00382,325.43223,326.04021,328.13957,326.80525,325.27276,325.93161,325.02202,325.59867,326.22887
DP 86,1.9596,4.6695,0.04977384,0.1186053,2786.85,327.59078,326.24095,329.2783,326.65091,327.38843,328.21173,324.97868,326.12816,325.4246,326.11097,328.59906,327.15137,325.4372,326.02191,324.98904,325.60358,326.1418
DP 87,1.9997,4.1662,0.05079238,0.10582148,2786.85,327.52689,326.27586,329.4889,326.79631,327.39635,328.68926,325.11412,326.15672,325.42019,326.37287,328.43141,327.2428,325.36911,326.06325,325.07424,325.70994,326.24666
DP 88,1.8748,4.5691,0.047619919999999996,0.11605513999999999,2786.85,328.03573,326.03237,329.51935,326.45401,327.15012,328.63666,325.06442,326.21209,325.42458,326.16197,329.08239,326.52659,325.36012,325.7188,325.08295,325.53882,326.24282
DP 89,2.0569,4.1337,0.05224526,0.10499598,2786.85,327.82718,326.2441,329.50348,327.09936,327.44835,328.97018,325.2274,326.11498,325.49762,326.01052,328.18944,327.00594,325.50224,326.18836,325.11606,325.79406,326.23084
DP 90,1.8579,3.6557,0.04719066,0.09285478,2786.85,327.55284,325.73142,330.19239,326.25598,327.2222,327.90384,324.92728,325.8304,325.33538,325.67108,328.25476,326.56463,325.40299,325.85268,325.04454,325.30309,326.06752
DP 91,2.2096,4.2952,0.05612384,0.10909808,2786.85,327.57216,326.33348,329.184,326.94133,327.28188,328.82119,325.0149,325.96064,325.42877,325.93166,327.83011,327.03493,325.5057,326.09488,324.94187,325.65377,326.14883
DP 92,2.0308,4.2246,0.05158232,0.10730483999999998,2786.85,327.68003,326.2117,329.68884,326.79325,327.51152,328.6934,324.89879,325.889,325.2209,326.16593,328.19338,326.98912,325.40161,326.13894,324.92846,325.55745,326.09266
DP 93,2.2722,3.9244,0.05771388,0.099679759999999992,2786.85,327.73549,326.28055,329.07469,326.81889,327.25454,328.62865,325.08124,325.8311,325.98213,325.87827,327.47172,326.91208,325.90467,326.1285,325.03822,325.7187,326.24825
DP 94,1.8849,4.3351,0.047876459999999996,0.11011154,2786.85,327.64884,326.06909,329.77233,326.51816,327.50401,328.54627,325.08225,326.26108,325.28683,326.14057,328.84567,326.89295,325.4148,325.99314,325.02799,325.68389,326.21825
DP 95,1.6898,3.9811,0.042920919999999994,0.10111993999999999,2786.85,328.89325,323.40457,329.94428,323.7578,327.32495,323.6393,324.92002,326.28569,324.88098,325.93634,331.01727,324.53386,324.98071,324.4726,324.90208,324.12967,326.19421
DP 96,1.7237,3.4369,0.04378198,0.08729726,2786.85,328.57351,323.91161,330.48296,325.00585,327.12372,325.21386,324.99609,325.73501,325.25924,326.0876,329.97606,324.9934,325.36884,324.82762,324.99259,324.50185,326.17238
DP 97,2.2417,3.5899,0.056939179999999992,0.09118346,2786.85,327.59323,326.15819,329.30517,326.72496,327.32067,328.68354,324.9326,325.77429,326.52676,325.69226,327.14986,326.8368,326.69062,325.8712,324.97539,325.59893,326.11525
DP 98,1.9876,4.0649,0.05048504,0.10324845999999999,2786.85,327.58872,326.09477,329.79364,327.11677,327.27537,328.79689,325.06103,326.1318,325.33201,326.06685,328.24349,327.28363,325.3955,326.14189,325.10668,325.61785,326.23921
DP 99,2.2584,3.3221,0.057363359999999995,0.08438134,2786.85,327.45923,325.78481,328.39069,327.76708,327.55082,328.35131,324.9858,325.67663,326.54665,325.8031,327.22295,327.05472,326.59502,326.2447,324.96939,325.37435,326.20461
DP 100,1.7679,4.2565,0.04490466,0.10811509999999999,2786.85,328.30529,324.94006,329.74852,325.57178,327.38832,326.56197,324.90483,326.32086,325.13832,326.13633,329.69019,325.702,325.10218,325.17249,324.87328,324.98778,326.08266
DP 101,2.0109,4.695,0.051076859999999995,0.119253,2786.85,327.56223,326.27525,329.17647,326.61498,327.44531,328.49601,324.87264,326.02069,325.33576,325.98827,328.43692,326.92412,325.34283,325.84197,324.90529,325.71106,326.03558
DP 102,1.687,4.5599,0.0428498,0.11582145999999999,2786.85,329.42651,323.34873,329.5739,324.03515,327.29113,323.65963,324.94957,326.42804,325.11019,326.38549,331.49269,324.67615,325.12904,324.53925,324.92124,324.23713,326.07865
DP 103,1.791,4.4531,0.045491399999999994,0.11310874,2786.85,328.05006,325.35128,329.65445,325.65661,327.20263,326.64547,324.92296,326.2889,325.21996,326.28433,329.76118,326.087,325.11208,325.42203,324.89992,325.09398,326.11854
DP 104,1.9321,3.4127,0.049075339999999995,0.08668258,2786.85,327.62961,326.25083,329.86831,327.27646,327.21222,328.41911,325.03016,325.81287,325.97258,325.84669,327.57076,327.15408,325.92667,326.16022,324.98882,325.62128,326.15897
DP 105,1.7721,4.3363,0.04501134,0.11014201999999998,2786.85,328.23372,325.14135,329.88917,325.38764,327.21999,326.44879,324.96585,326.08595,325.12168,326.35362,329.86434,325.86203,325.10241,325.14496,324.92187,325.03642,326.19227
DP 106,2.1301,3.7382,0.05410454,0.09495028,2786.85,327.60953,326.16997,329.55832,327.10364,327.36158,328.61686,324.92674,325.84609,325.91552,325.8343,327.28376,326.61105,325.86396,325.83971,324.98812,325.58273,326.08326
DP 107,1.7174,3.4265,0.04362196,0.087033099999999988,2786.85,328.87322,323.78476,330.55251,324.69814,327.41621,325.00859,324.995,325.93655,325.31591,325.83837,329.84065,324.93055,325.37766,324.85809,324.95969,324.41197,326.04198
DP 108,1.8162,4.2329,0.04613148,0.10751566,2786.85,327.85732,325.50502,329.66975,326.02338,327.38716,327.43704,324.93105,326.21036,325.19869,326.26517,329.30549,326.44012,325.16995,325.5008,324.89394,325.17296,326.05972
DP 109,1.9513,3.6752,0.04956302,0.093350079999999988,2786.85,327.53055,326.14917,329.99494,327.11386,327.05293,328.83644,325.12537,325.9448,325.53776,325.99332,327.92492,327.07819,325.51666,326.18684,325.13587,325.57702,326.19079
